student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,addr_city,addr_district,addr_postal,hobbies,skill_tech_python,skill_tech_excel,skill_tech_sql,skill_soft,siblings,income_father,income_mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year
1,Claudia Short,20,Unknown,,379-415-2102,Katieland,NA,,Data Science,,active,3.72,good,135.0,,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}",Tashkent,South Kevin district,100539,,2.0,5.0,1.0,,4.0,1198.0,1089.0,laptop,HP,2021.0,phone,Xiaomi,2021.0
2,Unknown,20,Female,,NA,Dawnburgh,psmith@chen.com,2017-08-29,Data Science,,active,1.88,excellent,152.0,2001-10-11,UZ 100332 Tashkent South Patricia,"{hobbies:['against', 'good']}",Tashkent,,100332,,,,,,,,,,,,,,
3,Kathryn Moyer,20,Unknown,,NA,Lake Stevenmouth,NA,2017-08-14,Data Science,,pending,,  excellent  ,185.0,,"Wendyshire 12-kv, dom 1, Tashkent","{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}",Tashkent,dom 1,,,5.0,3.0,1.0,,1.0,263.0,202.0,laptop,HP,2020.0,phone,Samsung,2023.0
4,Ruben Wilson,20,Female,81.0,NA,Port Pamelafort,NA,1973-09-17,Data Science,,inactive,0.0,good,175.0,,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}",Tashkent,North Tamara district,100097,,3.0,5.0,1.0,,4.0,508.0,698.0,laptop,Lenovo,2020.0,phone,Samsung,2024.0
5,Robert Pruitt,20,Female,,956-310-2803,Kingburgh,NA,2023-11-25,Data Science,,pending,4.37,average,282.0,2013-10-13,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",Tashkent,,,,1.0,4.0,1.0,,3.0,862.0,1058.0,laptop,Lenovo,2023.0,phone,Apple,2022.0
6,David Martinez,20,Male,,828-601-6937,Hugheshaven,nathangibbs@hotmail.com,,Data Science,,pending,,average,85.0,1983-04-30,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{hobbies:['order', 'keep']}",Tashkent,North Jamesfurt district,100551,,,,,,,,,,,,,,
7,Unknown,18,Female,71.0,180-928-3134,Sharpfurt,nguyenlisa@horn.org,1982-01-16,Data Science,,active,0.0,excellent,275.0,2004-11-19,"Lake Tracishire 29-kv, dom 8, Tashkent","{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",Tashkent,dom 8,,,4.0,1.0,4.0,,3.0,1270.0,931.0,laptop,HP,2018.0,phone,Xiaomi,2023.0
8,Nicholas Dennis,21,Female,,809-155-6011,Matthewfort,NA,2000-06-26,Python,63.0,active,,excellent,135.0,1978-09-23,"70576 Butler Harbor Suite 847, Janetberg",INVALID_JSON_DATA,Tashkent,,70576,,,,,,,,,,,,,,
9,Unknown,20,Female,77.0,854-964-5423,South Paulchester,stacysmith@taylor.biz,2000-03-15,Data Science,,active,,  excellent  ,104.0,1995-10-20,"Williamsborough 2-kv, dom 18, Tashkent","{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}",Tashkent,dom 18,,,1.0,5.0,4.0,,0.0,850.0,1062.0,laptop,Dell,2019.0,phone,Apple,2020.0
10,Elizabeth Villegas,22,Female,,674-476-0583,South Dianatown,anthonywalker@gmail.com,2013-02-11,Data Science,99.0,inactive,,average,215.0,2014-12-16,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",Tashkent,,,,1.0,1.0,4.0,,3.0,597.0,1150.0,laptop,Dell,2016.0,phone,Xiaomi,2023.0
